arm,seed,train_loops,eval_loops,nll,tokens_seen,training_seconds,parameters
normalized_skip,17,4,8,3.1548399377788883,98304,5.491254041999998,90561
normalized_skip,17,4,12,3.2159672008419875,98304,5.491254041999998,90561
normalized_skip,17,4,16,3.2409481480135582,98304,5.491254041999998,90561
normalized_skip,29,4,1,3.444760495534865,98304,5.3751734570000025,90561
normalized_skip,29,4,2,3.199241798953153,98304,5.3751734570000025,90561
normalized_skip,29,4,4,3.119539689141675,98304,5.3751734570000025,90561
normalized_skip,29,4,6,3.1462364465842256,98304,5.3751734570000025,90561
normalized_skip,29,4,8,3.1824087493296247,98304,5.3751734570000025,90561
normalized_skip,29,4,12,3.2520430288277566,98304,5.3751734570000025,90561
normalized_skip,29,4,16,3.283579936440219,98304,5.3751734570000025,90561
normalized_skip,43,4,1,3.408986351569183,98304,5.1432704580000035,90561
normalized_skip,43,4,2,3.1876131919561885,98304,5.1432704580000035,90561
normalized_skip,43,4,4,3.1122648534365,98304,5.1432704580000035,90561
normalized_skip,43,4,6,3.1365397946647136,98304,5.1432704580000035,90561
normalized_skip,43,4,8,3.1733773667074274,98304,5.1432704580000035,90561
normalized_skip,43,4,12,3.2327800361963455,98304,5.1432704580000035,90561
normalized_skip,43,4,16,3.2450965078605805,98304,5.1432704580000035,90561
shallow,17,1,1,3.1453811706451233,98304,1.540871665999994,90561
shallow,17,1,2,3.2087146167759784,98304,1.540871665999994,90561
shallow,17,1,4,3.3956785111222416,98304,1.540871665999994,90561
shallow,17,1,6,3.480471000279067,98304,1.540871665999994,90561
shallow,17,1,8,3.512536713737063,98304,1.540871665999994,90561
shallow,17,1,12,3.5277022337540984,98304,1.540871665999994,90561
shallow,17,1,16,3.5263896256510634,98304,1.540871665999994,90561
shallow,29,1,1,3.1538375398376957,98304,1.5501790839999927,90561
shallow,29,1,2,3.2075687878823373,98304,1.5501790839999927,90561
shallow,29,1,4,3.37186506492435,98304,1.5501790839999927,90561
shallow,29,1,6,3.472144473431399,98304,1.5501790839999927,90561
shallow,29,1,8,3.5159511379606556,98304,1.5501790839999927,90561
shallow,29,1,12,3.540655798075022,98304,1.5501790839999927,90561
shallow,29,1,16,3.5424158689856995,98304,1.5501790839999927,90561
shallow,43,1,1,3.198006256861845,98304,1.5704286250000195,90561
shallow,43,1,2,3.2546241879754234,98304,1.5704286250000195,90561
shallow,43,1,4,3.3966614008240867,98304,1.5704286250000195,90561
shallow,43,1,6,3.4467728173476644,98304,1.5704286250000195,90561
shallow,43,1,8,3.465437288628891,98304,1.5704286250000195,90561
shallow,43,1,12,3.479084198450437,98304,1.5704286250000195,90561
shallow,43,1,16,3.4842474579054397,98304,1.5704286250000195,90561
